v_i,m_i,rho_i,rho_t,Y,g,d_i,theta,P80,R95
19461.923189621102,218149966411.84692,6.184734513336334,2.19510995654003,505666022.8786024,19.087112987895964,2783.5325347493044,19.646764144922408,51.65468345071137,220.86599826469865
11252.521773925282,662928037632.9181,6.123045449585357,1.7056144861787914,9528670916.673487,19.80948671655409,3373.92080464805,20.187715723020382,63.16542211880867,170.58176860982059
21535.64903782887,766861753441.2928,2.8175177020416076,2.1041369322261563,160282.66094309225,16.671670308413965,7877.748069783563,31.3723083494937,30.0,289.47325186537495
17585.516711954417,166636976392.3314,1.7382600685935414,3.1134127045996167,1677247.5775912148,8.905483970407165,682.7107812049888,63.66091983560392,30.0,317.21677523535794
2807.3450232474133,43859239559.63256,3.47469689174595,2.4869590660382848,97432476.61285065,10.970817092554448,902.0925053898538,38.92544488234894,42.159405331807676,222.20723635405838
24402.74761510052,439587935713.96344,2.5213859815831805,1.8431455510998827,11911659.395846434,10.09097417795696,3488.609027099455,70.16967705618273,30.874051472482986,319.48635760584773
19147.922698763647,774024311968.3511,4.072625114902012,2.125264745159876,154092333.77433994,3.1555511725269882,1362.2568009311365,76.4407213730515,35.128164613903344,331.581178320852
19758.57547928537,650780184794.3071,7.865749774491928,3.4071625593472126,85510937.0750635,17.095562711956017,5481.7929835239775,15.279410439231071,37.445540277030666,212.0334721315064
3638.7840005508738,701882018532.8708,2.676963910883936,2.363914976197253,870857987.4177588,13.532029191694571,2891.8134832024634,59.75760124774042,49.561770972141176,179.67029914655495
11534.455478441394,402839937154.02844,3.572680632249298,2.3831985096121864,226211.4589342216,12.776815542969564,6771.197641844666,15.968612073195384,30.0,295.2384943356668
9584.551593698241,234946310307.52463,6.2132430560772205,1.8061392040884265,15961744.311661841,4.445606808312754,5991.398288772402,15.020971277175887,37.91168200908808,291.49616090382744
23205.742226790746,531779311505.7662,4.80968808860249,2.10910860922857,1996498317.0840375,3.105528010422482,3771.7462888432005,29.303847608760734,53.503193545958986,255.28672985922245
16274.69544197628,204366489383.50314,1.785532933227002,3.129372265880093,6513426.649548731,17.466878216839255,6761.385338567105,17.11217907862341,36.34347792114741,245.51571708846296
20657.659525135336,726228970756.3688,2.5509851180485907,3.0723979488065263,33032696.440318108,3.6293082750131855,815.5425714026326,56.40802773226703,32.396996804483116,361.11891204994447
11363.647871269613,196967258993.0211,7.579122106025774,2.370997597886096,128201.50734043357,1.5206834337521973,4652.981046715872,60.12836947925804,30.0,437.22297675028744
6067.348683727034,291263975451.0747,2.170572452803685,3.2873045243142487,1320898.5864473614,12.530823762537304,4845.012404810406,54.74849905791453,30.30259949089831,313.44065278262303
14087.327281887952,506545271778.22705,5.6281031168630875,2.2605178341256447,20810169.036772113,14.101647983325005,1975.7086995000805,50.27498074399117,39.96674502078289,291.90003429306614
2063.5227745522952,486710447433.5608,6.650116717465925,3.2286591596438683,9881904.018207097,2.436467085711273,406.474398657327,64.68673723040733,34.41774982023275,402.6029394692265
20776.963713818262,600849775557.653,3.2253539077120053,1.5631311011694053,374347023.69469225,4.176845136113745,4286.239710082941,64.08048864319257,40.18064169198245,273.6977789607667
15975.777778490588,437445163055.31647,6.213007020401486,2.1944605804594213,114656824.08771235,15.785837711477708,4114.2796259832085,70.91792169528651,35.15605500673306,261.3136029170072
